artists,genres
m.i.a.,"['escape room', 'indietronica', 'new rave']"
the postal service,"['chamber pop', 'indie rock', 'indietronica', 'seattle indie']"
outkast,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']"
amy winehouse,"['british soul', 'neo soul']"
the white stripes,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'permanent wave', 'punk blues', 'rock']"
n.e.r.d,"['hip hop', 'virginia hip hop']"
lil wayne,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
the killers,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']"
beck,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'trap latino', 'urbano latino']"
christina aguilera,"['dance pop', 'pop']"
reflection eternal,['alternative hip hop']
the strokes,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']"
rihanna,"['barbadian pop', 'pop', 'urban contemporary']"
black eyed peas,"['dance pop', 'pop', 'pop rap']"
50 cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
mgmt,"['alternative rock', 'indie rock', 'indietronica', 'modern rock', 'rock']"
ludacris,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
andrew w.k.,['modern hard rock']
franz ferdinand,"['alternative rock', 'dance rock', 'indie rock', 'modern rock', 'rock', 'scottish rock']"
katy perry,['pop']
phoenix,"['alternative dance', 'indie rock', 'modern rock', 'new rave', 'rock independant francais', 'shimmer pop']"
justin timberlake,"['dance pop', 'pop']"
flo rida,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
jet,[]
gwen stefani,"['dance pop', 'pop']"
drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
madonna,"['dance pop', 'pop']"
bow wow,"['dance pop', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']"
madvillain,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'psychedelic hip hop']"
jimmy eat world,"['alternative metal', 'alternative rock', 'emo', 'modern power pop', 'modern rock', 'neon pop punk', 'pop punk', 'pop rock', 'post-grunge', 'punk', 'rock']"
coldplay,"['permanent wave', 'pop']"
lady gaga,"['art pop', 'dance pop', 'pop']"
kings of leon,"['modern rock', 'rock']"
q-tip,"['east coast hip hop', 'queens hip hop']"
mos def,"['conscious hip hop', 'east coast hip hop', 'hip hop']"
spoon,"['alternative rock', 'austindie', 'indie rock', 'modern rock']"
arctic monkeys,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']"
mary j. blige,"['dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']"
nelly,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']"
the raconteurs,"['alternative rock', 'garage rock', 'garage rock revival', 'indie rock', 'modern blues rock', 'modern rock', 'rock', 'supergroup']"
talib kweli,"['conscious hip hop', 'east coast hip hop']"
u2,[]
ok go,"['chicago indie', 'modern rock', 'permanent wave']"
black star,"['east coast hip hop', 'hip hop', 'political hip hop']"
weezer,"['alternative rock', 'modern power pop', 'modern rock', 'permanent wave', 'rock']"
beastie boys,"['alternative rock', 'east coast hip hop', 'golden age hip hop', 'hip hop', 'old school hip hop', 'rap', 'rap rock', 'rock']"
lily allen,"['dance pop', 'electropop', 'neo mellow']"
erykah badu,"['afrofuturism', 'alternative r&b', 'neo soul', 'r&b']"
queens of the stone age,"['alternative metal', 'alternative rock', 'grunge', 'modern rock', 'palm desert scene', 'rock', 'stoner metal', 'stoner rock']"
the kooks,"['brighton indie', 'garage rock', 'modern rock', 'rock']"
robbie williams,"['dance rock', 'europop']"
simply red,"['british soul', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'sophisti-pop']"
snoop dogg,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
seether,"['alternative metal', 'nu metal', 'post-grunge', 'south african rock']"
sara bareilles,"['acoustic pop', 'lilith', 'neo mellow', 'pop rock', 'post-teen pop']"
of montreal,"['art pop', 'baroque pop', 'dance-punk', 'elephant 6', 'indie rock', 'lo-fi', 'noise pop']"
the fray,"['neo mellow', 'piano rock', 'pop', 'pop rock']"
adele,['clap and tap']
the fratellis,"['garage rock', 'modern rock', 'scottish rock']"
buckcherry,"['alternative metal', 'glam metal', 'hard rock', 'nu metal', 'post-grunge', 'sleaze rock']"
blink-182,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']"
queen,"['classic rock', 'glam rock', 'rock']"
lucas & steve,"['dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house']"
curbi,"['dutch house', 'edm', 'electro house', 'future house', 'pop dance', 'progressive electro house']"
rich the kid,"['atl hip hop', 'melodic rap', 'plugg', 'rap', 'trap']"
wiz khalifa,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
cardi b,"['pop', 'rap']"
just say plz,[]
the doors,"['acid rock', 'album rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']"
creedence clearwater revival,"['album rock', 'classic rock', 'country rock', 'mellow gold', 'rock', 'southern rock', 'swamp rock']"
deep purple,"['album rock', 'classic rock', 'hard rock', 'metal', 'rock']"
iron maiden,"['alternative metal', 'hard rock', 'metal', 'nwobhm', 'rock']"
ac/dc,"['australian rock', 'hard rock', 'rock']"
thrice,"['post-hardcore', 'screamo']"
bullet for my valentine,"['alternative metal', 'nu metal', 'post-grunge', 'uk metalcore', 'welsh metal']"
volbeat,"['danish metal', 'danish rock']"
tom walker,"['indie anthem-folk', 'uk pop']"
jamie n commons,['modern blues rock']
wolfmother,"['alternative rock', 'australian psych', 'garage rock', 'modern blues rock', 'modern rock', 'rock']"
lostprophets,[]
the amazons,"['english indie rock', 'garage rock revival', 'modern alternative rock', 'reading indie']"
local natives,"['chamber pop', 'indie rock', 'la indie', 'modern rock', 'shimmer pop', 'stomp and holler']"
goldlink,['alternative r&b']
jack ã,['country']
blasterjaxx,"['big room', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'slap house']"
bonobo,"['downtempo', 'electronica', 'indietronica', 'instrumental hip hop', 'jazztronica', 'nu jazz', 'trip hop']"
young thug,"['atl hip hop', 'atl trap', 'gangster rap', 'hip hop', 'melodic rap', 'rap', 'trap']"
21 savage,"['atl hip hop', 'hip hop', 'rap']"
run the jewels,"['alternative hip hop', 'escape room', 'hip hop', 'political hip hop']"
kavinsky,['filter house']
panda eyes,['speedrun']
martin garrix,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']"
comeback kid,"['canadian hardcore', 'canadian punk', 'hardcore punk', 'melodic hardcore', 'melodic metalcore', 'modern melodic hardcore', 'skate punk']"
mã¶tley crã¼e,['Unknown']
bazanji,"['deep underground hip hop', 'indie pop rap']"
desiigner,"['pop rap', 'rap', 'southern hip hop', 'trap', 'viral trap']"
ab-soul,"['conscious hip hop', 'hip hop', 'rap', 'underground hip hop']"
nf,['musical advocacy']
m83,"['french shoegaze', 'french synthpop', 'indietronica', 'metropopolis', 'neo-synthpop']"
ace hood,"['dirty south rap', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
g-eazy,"['indie pop rap', 'oakland hip hop', 'pop rap', 'rap']"
gashi,[]
the weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']"
porter robinson,"['complextro', 'edm', 'electro house', 'pop dance', 'progressive electro house']"
lemaitre,['norwegian pop']
spank rock,['bmore']
ice cube,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
three 6 mafia,"['crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'tennessee hip hop', 'trap']"
nate dogg,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'west coast rap']"
kasabian,"['britpop', 'garage rock', 'leicester indie', 'modern rock', 'rock']"
post malone,"['dfw rap', 'melodic rap', 'pop', 'rap']"
coolio,"['g funk', 'gangster rap', 'hip hop', 'west coast rap']"
a$ap ferg,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
death from above 1979,"['canadian rock', 'dance-punk', 'garage rock', 'indietronica', 'modern alternative rock', 'modern rock']"
kaleo,"['icelandic indie', 'icelandic rock', 'modern alternative rock']"
geinoh yamashirogumi,['Unknown']
2cellos,"['bow pop', 'cello', 'string duo']"
richard armitage,['middle earth']
howard shore,"['canadian classical', 'canadian soundtrack', 'middle earth', 'orchestral soundtrack', 'scorecore', 'soundtrack']"
florence + the machine,"['baroque pop', 'modern rock', 'neo mellow', 'uk alternative pop']"
hachioji p,"['anime rock', 'denpa-kei', 'vocaloid']"
fall out boy,"['emo', 'modern rock', 'pop', 'rock']"
five finger death punch,"['alternative metal', 'groove metal', 'nu metal']"
from ashes to new,"['post-grunge', 'rap rock']"
benjamin antony james,['japanese vgm']
tpr,['japanese vgm']
all that remains,"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'post-grunge']"
tetsuya shibata,[]
gigi d'agostino,"['eurodance', 'italo dance']"
pentatonix,"['a cappella', 'viral pop']"
hans zimmer,"['german soundtrack', 'orchestral soundtrack', 'soundtrack']"
st. vincent,"['art pop', 'etherpop', 'indie rock', 'indietronica', 'metropopolis', 'neo-synthpop']"
i fight dragons,"['chiptune', 'nerdcore', 'nintendocore']"
aether,[]
auralnauts,[]
death & rebirth,[]
tonebox,"['spacewave', 'synthwave']"
monstaz.,[]
sakuzyo,['rhythm game']
urbanstep,['melodic dubstep']
hideyuki fukasawa,"['japanese vgm', 'sound team']"
moleman,[]
wiley webb,[]
danny wiessner,[]
alpine universe,[]
invermere,[]
eisenfunk,[]
breaking benjamin,"['alternative metal', 'nu metal', 'post-grunge']"
getsix,['speedrun']
fatso,[]
manuel boltano,['chill guitar']
erik satie,"['classical', 'early avant garde', 'early modern classical', 'impressionism', 'post-romantic era']"
atrey,"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'post-grunge', 'screamo']"
maxthor,"['popwave', 'synthwave']"
aether (uk),"['chillstep', 'melodic dubstep']"
mosh,"[""children's music""]"
sthesia,[]
shady cicada,[]
cement city,"['otacore', 'pixel']"
skyflim,[]
masta mic,['hong kong hip hop']
virtual riot,"['brostep', 'complextro', 'dubstep']"
danger,"['alternative hip hop', 'mashup']"
flashworx,['synthwave']
mario ayuda,[]
jomekka,[]
terraspex,['otacore']
glaze,"['bubblegrunge', 'indie punk', 'indie surf', 'la indie']"
zombie hyperdrive,"['cyberpunk', 'spacewave', 'synthwave']"
future funk squad,"['breakbeat', 'psybreaks']"
favright,"['complextro', 'gaming edm']"
night runner,['synthwave']
demon hunter,"['christian alternative rock', 'christian metal', 'christian metalcore', 'christian rock']"
instant remedy,"['c64', 'demoscene']"
steve duzz,[]
047,[]
raunchy,"['cyber metal', 'danish metal', 'melodic death metal']"
carnivalxenon,[]
asking alexandria,"['alternative metal', 'metalcore', 'pop punk', 'post-grunge', 'trancecore', 'uk metalcore']"
douglas holmquist,[]
shadowbeatz,[]
savoy,['british dance band']
abney park,"['dark cabaret', 'steampunk']"
raydar,"['nightrun', 'synthwave']"
le castle vania,['electro trash']
klaton,[]
good tiger,"['djent', 'progressive post-hardcore']"
really slow motion,['epicore']
phosgore,['aggrotech']
jonathan geer,"['indie game soundtrack', 'video game music']"
rob gasser,"['complextro', 'gaming dubstep', 'gaming edm']"
shockone,"['australian dance', 'dancefloor dnb']"
power glove,"['cyberpunk', 'synthwave']"
aperture science psychoacoustic laboratories,['video game music']
organizaciã³n genesis,['Unknown']
faux tales,"['chillstep', 'melodic dubstep']"
signum,"['dutch trance', 'trance', 'uplifting trance']"
till death,[]
qumu,"['lo-fi vgm', 'pixel', 'vgm remix']"
don winsley,[]
mudeth,"['bangalore indie', 'indie game soundtrack']"
xi,"['alternative pop rock', 'neon pop punk', 'pop emo', 'texas pop punk']"
vats of goo,['touhou']
tiasu,"['bitpop', 'chiptune']"
david maxim micic,['djent']
shurk,[]
reol,"['indietronica', 'metropopolis', 'nu disco', 'shimmer pop']"
last note.,"['anime rock', 'denpa-kei', 'vocaloid']"
machinae supremacy,"['bitpop', 'future rock', 'swedish metal', 'swedish power metal']"
songe,['chill drill']
sabrepulse,"['chiptune', 'nintendocore']"
high level,[]
slightly left of centre,[]
haveluckgoodfun,[]
approaching nirvana,[]
station earth,['dancefloor dnb']
t. h. tonmoy,[]
sons of amon,[]
redalice,"['doujin', 'j-core', 'japanese vtuber', 'rhythm game']"
raison varner,['video game music']
powerglove,['comic metal']
undead corporation,['touhou']
magnus pã¥lsson,['Unknown']
memtrix,"['chillstep', 'deep liquid']"
frank klepacki,['video game music']
jaroslav beck,['speedrun']
pixel pirates,[]
trash80,['chiptune']
savant,"['complextro', 'filthstep']"
stoneocean,[]
jager,[]
sound stabs,[]
saymaxwell,"['otacore', 'pixel', 'rhythm game', 'speedrun']"
james c. hoffman,[]
hat films,['antiviral pop']
colbydude,[]
lab grown music,[]
zef,[]
sung,[]
james landino,['vgm remix']
thunderscott,[]
gustaf grefberg,['video game music']
casey edwards,"['sound team', 'video game music']"
toy-box,['bubblegum dance']
paul dinletir,['epicore']
beatman,[]
alex yarmak,['dark clubbing']
kraddy,['glitch hop']
master boot record,['darksynth']
teamheadkick,['antiviral pop']
darling thieves,[]
niic,"['furry', 'otacore']"
dave lens,[]
valve studio orchestra,['video game music']
spikedgrin,[]
neuromonakh feofan,"['russian dnb', 'russian rave']"
trickywi,['otacore']
yurino,[]
sqeepo,[]
harry callaghan,['antiviral pop']
psykozbrothers,['nightcore']
cole rolland,[]
nir shor,[]
jordan schor,[]
stone,"['album rock', 'british invasion', 'classic rock', 'rock']"
dagames,"['otacore', 'pixel', 'speedrun']"
yungtown,[]
mr weebl,['antiviral pop']
minutes til midnight,[]
vomitron,['scorecore']
battle tapes,['la indie']
game & sound,['pixel']
kevin macleod,"['meme', 'sillycore']"
smile.dk,['bubblegum dance']
jaki rose,['otacore']
anjer,['rhythm game']
ginkiha,"['kawaii edm', 'rhythm game']"
gametal,[]
dj searcher,[]
el tigr3,['darksynth']
butterfly tea,['commons']
makeup and vanity set,['synthwave']
princewhateverer,['otacore']
boom kitty,['speedrun']
thaehan,['lo-fi beats']
sim gretina,['vgm remix']
glenn stafford,['video game music']
borderline disaster,['antiviral pop']
sparkee,[]
masafumi takada,"['japanese vgm', 'otacore']"
polaris (fr),['full on groove']
etheria,[]
prof.sakamoto,['chiptune']
strawberry girls,"['math rock', 'progressive post-hardcore']"
nanahira,"['denpa-kei', 'kawaii future bass', 'touhou']"
uss (ubiquitous synergy seeker),['canadian indie']
dj'tekina//something,['Unknown']
skar,['movie tunes']
critical mass,"['gabber', 'happy hardcore']"
before my life fails,['japanese post-hardcore']
the dirty youth,['pixie']
midnight conspiracy,[]
m4sonic,[]
bayonetta,['video game music']
teddyloid,['japanese electropop']
winnie,['chinese drama ost']
five knives,[]
pinn panelle,[]
omoi,[]
jay harper,[]
whispered,[]
elric phares,[]
survive said the prophet,"['j-poprock', 'japanese alternative rock']"
lollia,"['otacore', 'pixel']"
damned anthem,['epicore']
escape the clouds,['steampunk']
ridiculon,['indie game soundtrack']
bass fox,[]
solence,[]
johari,['progressive metalcore']
doctor vox,['gaming edm']
deon van heerden,[]
deardrops,[]
speed limits,['progressive uplifting trance']
env,['atlanta bass']
steam powered giraffe,['steampunk']
tanooki suit,[]
ghost'n'ghost,"['otacore', 'pixel', 'pov: indie']"
aviators,['otacore']
big bad bosses,['otacore']
network music ensemble,['jazz worship']
wagakkiband,"['idol rock', 'kawaii metal', 'oriental metal', 'shamisen']"
minimusicman,[]
thousand foot krutch,"['alternative metal', 'canadian ccm', 'canadian metal', 'canadian rock', 'christian alternative rock', 'christian rock', 'rap metal']"
nekodex,[]
songs to your eyes,['epicore']
cloudjumper,"['otacore', 'pixel', 'rhythm game']"
middle milk,['complextro']
blindsight,[]
cranius,[]
amaranthe,"['gothic symphonic metal', 'power metal', 'symphonic metal']"
brandberg,[]
mark holiday,[]
area 11,"['antiviral pop', 'neo-industrial rock']"
jennifer lopez,"['dance pop', 'pop', 'urban contemporary']"
neku,[]
videogamerapbattles,"['anime rap', 'otacore', 'pixel']"
mandopony,"['otacore', 'pixel']"
j.t. machinima,"['antiviral pop', 'otacore', 'pixel']"
fandroid!,"['otacore', 'pixel']"
daniel ingram,['otacore']
ponyphonic,['otacore']
kadenza,"['gaming edm', 'otacore']"
tarby,[]
yourenigma,['otacore']
nicolas dominique,['otacore']
eilemonty,['otacore']
sound flare,[]
garrison ulrich,['otacore']
4everfreebrony,['otacore']
ohponyboy,['otacore']
aurelleah,['otacore']
scratch21,"['furry', 'otacore']"
palmer reed,[]
starlight,"['coverchill', 'jazz cover']"
discord,"['american grindcore', 'grindcore', 'mathgrind', 'technical grindcore']"
diamond tiara,['otacore']
countess coloratura,['otacore']
jyc row,['otacore']
twilight sparkle,['otacore']
gabriel brown,['otacore']
woodentoaster,['otacore']
sia,['musical advocacy']
asi meskin,[]
random encounters,"['otacore', 'pixel']"
mattxaj,['otacore']
rockit music,"['otacore', 'pixel']"
dan bull,"['antiviral pop', 'comic', 'otacore', 'pixel']"
ihascupquake,"['otacore', 'pixel']"
falkkone,['otacore']
cg5,"['otacore', 'pixel', 'rhythm game']"
falconshield,"['melodic power metal', 'otacore']"
madame macabre,"['otacore', 'pixel']"
dan salvato,[]
parry gripp,"['antiviral pop', 'comic', 'pixel', 'sillycore']"
capper (taye diggs),['otacore']
xanduisbored,"['otacore', 'pixel']"
the unknown songbird,['otacore']
miatriss,"['otacore', 'pixel']"
trixie & the illusions,['otacore']
kyle allen music,"['otacore', 'pixel']"
applebloom,['otacore']
ali tabatabaee,[]
queen chrysalis,['otacore']
jt music,"['otacore', 'pixel']"
jorge aguilar ii,"['otacore', 'pixel']"
griffinilla,"['otacore', 'pixel']"
aurelio voltaire,"['dark cabaret', 'steampunk']"
ck9c,"['otacore', 'pixel']"
steven universe,['pov: indie']
tryhardninja,"['antiviral pop', 'otacore', 'pixel']"
erutan,['fantasy']
jacksepticeye,"['antiviral pop', 'pixel']"
the oral cigarettes,"['anime', 'j-poprock', 'j-rock', 'japanese indie rock']"
radwimps,"['j-pop', 'j-rock', 'visual kei']"
the cab,"['neon pop punk', 'pop punk', 'vegas indie']"
rustyfin,[]
jordan maron,['antiviral pop']
sebastian komor,['cyberpunk']
powercyan,['cyberpunk']
"dan balan, balan",['Unknown']
the phantoms,"['bossbeat', 'modern alternative rock', 'modern hard rock', 'rebel blues']"
aftalyfe,[]
greek fire,['stl indie']
inside gaming,[]
age of days,['gymcore']
bombs away,"['australian dance', 'melbourne bounce', 'melbourne bounce international']"
poets of the fall,['finnish alternative rock']
eon,"['indietronica', 'metropopolis', 'nu disco', 'shimmer pop']"
down with webster,['canadian rock']
aram zero,['epicore']
brother blake,[]
majorleaguewobs,[]
noc.v,[]
ragtagg,[]
alive in the dark,[]
vgr,"['alternative pop rock', 'neon pop punk', 'pop emo', 'texas pop punk']"
groundbreaking,[]
blackstripe,[]
al storm,['deep happy hardcore']
imaginary flying machines,"['comic metal', 'japanese power metal']"
blind,['german cloud rap']
the library,"['environmental', 'sleep', 'water']"
tudd,"['lo-fi vgm', 'pixel', 'vgm remix']"
usao,[]
we are the empty,['gymcore']
enzalla,['chillstep']
riffshop,['Unknown']
johnny medlar,[]
subshock & evangelos,['sky room']
chris de burgh,"['new wave pop', 'soft rock']"
davido,"['afrobeats', 'afropop', 'azontobeats', 'ghanaian hip hop', 'nigerian pop']"
starboy,['punjabi pop']
dj shabsy,[]
teni,[]
alien project,"['full on', 'psychedelic trance']"
astrix,"['full on', 'nitzhonot', 'psychedelic trance']"
wizzy noise,['psychedelic trance']
khan saab,['punjabi pop']
amantej hundal,['punjabi pop']
sidhu moose wala,"['desi hip hop', 'pakistani hip hop', 'punjabi hip hop', 'punjabi pop']"
shawn mendes,"['canadian pop', 'pop', 'viral pop']"
fally ipupa,"['azontobeats', 'musique urbaine kinshasa', 'ndombolo', 'r&b francais', 'rumba congolaise']"
lany,"['la pop', 'opm']"
bumkey,"['k-rap', 'korean pop']"
dean lewis,"['australian pop', 'pop']"
belly dance zone,[]
ed sheeran,"['pop', 'singer-songwriter pop', 'uk pop']"
daniel caesar,['canadian contemporary r&b']
magasco,"['azontobeats', 'cameroonian pop']"
dadju,"['french hip hop', 'pop urbaine', 'r&b francais']"
h.e.r.,"['r&b', 'rap']"
boyce avenue,"['acoustic cover', 'neo mellow', 'viral pop']"
sting,[]
outlandish,[]
sunset neon,"['nightrun', 'synthwave']"
rozen,[]
raizer,"['cyberpunk', 'future rock']"
dj cutman,"['lo-fi vgm', 'otacore', 'pixel', 'vgm remix']"
wishful 32,['Unknown']
volkor x,"['darksynth', 'spacewave', 'synthwave']"
mdk,[]
the game shop,['electronic rock']
camellia,"['denpa-kei', 'rhythm game']"
redshirt theory,[]
mochipet,"['breakcore', 'drill and bass', 'glitch hop']"
coming in static,[]
circusp,"['otacore', 'pixel']"
dinnick the 3rd,[]
dry wet carrot,[]
tim white,[]
deadlife,"['darksynth', 'synthwave']"
garrett williamson,[]
crazygrouptrio,['vgm instrumental']
wild fire,[]
zardonic,"['darkstep', 'future rock']"
therewolf media,[]
burn the ballroom,[]
ace,[]
cashell,[]
ghost fight,[]
dolphin smiling,['otacore']
plentakill,[]
the gag quartet,['antiviral pop']
michelle creber,['otacore']
annella,['electro swing']
8 bit era,['8-bit']
ariana grande,['pop']
childish gambino,"['atl hip hop', 'hip hop', 'rap']"
mr eazi,"['afrobeats', 'afropop', 'ghanaian hip hop', 'nigerian pop', 'swedish dancehall']"
6lack,"['atl hip hop', 'melodic rap', 'r&b', 'rap', 'trap']"
mut4y,"['afrobeats', 'nigerian pop']"
runtown,"['afrobeats', 'afropop', 'nigerian pop']"
kyle,['new york drill']
2baba,"['afrobeats', 'afropop', 'nigerian pop']"
yemi alade,"['afrobeats', 'afropop', 'azontobeats', 'nigerian pop']"
wande coal,"['afrobeats', 'afropop', 'nigerian hip hop', 'nigerian pop']"
wale,"['pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']"
taio cruz,"['dance pop', 'pop', 'pop rap']"
michael jackson,"['r&b', 'soul']"
quincy jones,['soul jazz']
rod temperton,[]
zack knight,"['desi hip hop', 'desi pop']"
,[]
pav dharia,['punjabi pop']
cold kingdom,"['gymcore', 'slayer']"
agama,[]
ari pulkkinen,['meme']
metalite,"['gothic symphonic metal', 'melodic metal', 'slayer', 'symphonic metal', 'symphonic power metal']"
console command,['metal cover']
totalfat,"['j-punk', 'j-rock', 'japanese pop punk', 'japanese punk rock']"
flashygoodness,"['chiptune', 'indie game soundtrack']"
the barr brothers,"['canadian americana', 'canadian indie', 'indie folk', 'new americana', 'stomp and holler']"
greta van fleet,"['modern blues rock', 'modern hard rock', 'rock']"
john legend,"['neo soul', 'pop', 'pop soul', 'urban contemporary']"
the darkness,"['glam metal', 'hard rock']"
the national,"['chamber pop', 'indie folk', 'indie rock', 'indietronica', 'modern rock']"
biqram,['background music']
avicii,"['dance pop', 'edm', 'pop', 'pop dance']"
mia strass,['focus']
thy art is murder,"['australian metal', 'australian metalcore', 'deathcore', 'melodic metalcore', 'metalcore']"
war,['j-division']
amos lee,"['acoustic pop', 'neo mellow', 'stomp and holler']"
machine head,"['alternative metal', 'groove metal', 'hard rock', 'industrial metal', 'melodic groove metal', 'metal', 'nu metal', 'progressive groove metal']"
grace vanderwaal,['post-teen pop']
daniel deluxe,"['darksynth', 'synthwave']"
said the whale,"['canadian indie', 'canadian indie rock', 'vancouver indie']"
trevor hall,"['high vibe', 'south carolina indie']"
michael giacchino,"['orchestral soundtrack', 'soundtrack']"
george harrison,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
des rocs,"['modern alternative rock', 'rebel blues']"
halestorm,"['alternative metal', 'nu metal', 'post-grunge']"
hippie sabotage,"['edm', 'electronic trap']"
claude debussy,"['classical', 'impressionism', 'post-romantic era']"
bruce springsteen,"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']"
'come from away' company,['broadway']
rilã¨s,[]
charles blue,[]
tom robinson band,['glam rock']
colbie caillat,"['dance pop', 'neo mellow', 'pop']"
shelby merry,[]
lacuna coil,"['alternative metal', 'gothic metal', 'gothic symphonic metal', 'industrial metal', 'italian gothic', 'italian gothic metal', 'italian metal', 'nu metal', 'slayer', 'symphonic metal']"
johnny cash,"['arkansas country', 'outlaw country', 'rock']"
rage against the machine,"['alternative metal', 'alternative rock', 'conscious hip hop', 'funk metal', 'hard rock', 'nu metal', 'political hip hop', 'post-grunge', 'rap metal', 'rap rock', 'rock']"
tom petty and the heartbreakers,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
newsboys,"['ccm', 'christian alternative rock', 'christian music']"
bowerbirds,"['chamber pop', 'melancholia', 'north carolina indie', 'stomp and holler']"
beware of darkness,['modern hard rock']
leonard cohen,"['canadian singer-songwriter', 'melancholia', 'permanent wave', 'singer-songwriter']"
killswitch engage,"['alternative metal', 'boston metal', 'melodic metalcore', 'metalcore', 'nu metal', 'post-grunge']"
trivium,"['alternative metal', 'groove metal', 'melodic metalcore', 'melodic thrash', 'metal', 'metalcore', 'nu metal', 'post-grunge']"
eric church,"['contemporary country', 'country', 'country road']"
papa roach,"['alternative metal', 'nu metal', 'rap metal', 'rap rock', 'rock']"
evanescence,['alternative metal']
yellowcard,"['alternative metal', 'pop punk', 'post-grunge', 'socal pop punk']"
avril lavigne,"['canadian pop', 'candy pop', 'dance pop', 'pop']"
hinder,"['alternative metal', 'nu metal', 'post-grunge']"
my chemical romance,"['emo', 'modern rock', 'pop punk', 'pov: indie', 'rock']"
drowning pool,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
three days grace,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge', 'rock']"
limp bizkit,"['alternative metal', 'funk metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']"
rise against,"['alternative metal', 'chicago hardcore', 'chicago punk', 'hardcore punk', 'modern rock', 'pop punk', 'post-grunge', 'punk']"
avenged sevenfold,['alternative metal']
neon cities,[]
swimware,['synthwave']
todd terje,"['balearic', 'electronica', 'filter house', 'indietronica', 'norwegian space disco', 'nu disco']"
highway superstar,['synthwave']
michael cassette,['progressive trance house']
mr. maen,['spacewave']
rain sword,['synthwave']
jordan f,"['ccm', 'christian alternative rock', 'christian indie', 'christian music']"
nite flights,[]
waveshaper,"['spacewave', 'synthwave']"
mitch murder,['synthwave']
barretso,['filter house']
sellorekt / la dreams,['synthwave']
stayloose,['electropop']
droid bishop,"['spacewave', 'synthwave']"
lueur verte,['synthwave']
stephanie kay,[]
o.t.r.,"['modern country pop', 'texas country']"
keith power,['video game music']
toxicxeternity,['scorecore']
florian haack,['metal cover']
wisp x,['kawaii edm']
angela,"['mariachi', 'musica mexicana', 'ranchera']"
icon for hire,"['gothic alternative', 'pixie']"
shiro-p,[]
summer walker,"['r&b', 'rap']"
bazzi,['pop']
jojo,"['dance pop', 'pop', 'post-teen pop']"
jesse mccartney,"['dance pop', 'pop', 'post-teen pop']"
aya nakamura,"['basshall', 'pop urbaine', 'r&b francais']"
yowda,['west coast trap']
mindbenderz,"['german trance', 'progressive psytrance', 'psychedelic trance']"
avalon,[]
smith & thell,['swedish pop']
madcon,['norwegian hip hop']
cid,"['indietronica', 'metropopolis', 'nu disco', 'shimmer pop']"
